text,label
"Reserve Bank of India keeps interest rates unchanged",real
"Inflation rate shows moderate increase this quarter",real
"Stock market indices reach new all-time highs",real
"Government reduces taxes on essential commodities",real
"Export growth shows positive trend this fiscal year",real
"Rupee stabilizes against major international currencies",real
"New manufacturing units creating employment opportunities",real
"Digital payments show significant growth in rural areas",real
"Corporate sector reports improved quarterly results",real
"Economic survey predicts GDP growth around 7%",real
"All Indian banks closing permanently next week",fake
"Government banning all private companies in India",fake
"Reserve Bank printing unlimited money causing hyperinflation",fake
"Stock market crashing to zero next Monday",fake
"All ATMs will stop working from tomorrow",fake
"Gold prices falling to 100 rupees per gram",fake
"Government seizing all private property next month",fake
"Indian rupee becoming worthless paper currency",fake
"All loans being waived off for everyone",fake
"Cash becoming illegal in India from next week",fake