text,label
"Prime Minister attends G20 summit for economic discussions",real
"Government announces new welfare scheme for farmers",real
"Parliament session discusses new education policy",real
"Election Commission announces dates for state elections",real
"Supreme Court delivers judgment on important constitutional case",real
"Finance Minister presents annual budget in Parliament",real
"Government launches new digital India initiative",real
"Foreign minister meets counterparts for bilateral talks",real
"President addresses nation on Republic Day",real
"Government committee submits report on economic reforms",real
"Narendra Modi seriously ill and undergoing secret treatment",fake
"Rahul Gandhi getting married to foreign billionaire",fake
"Government banning all opposition parties next month",fake
"India selling Kashmir to China for debt relief",fake
"PM Modi resigning and joining Buddhist monastery",fake
"All electronic voting machines rigged in last election",fake
"President's rule being imposed in all states tomorrow",fake
"Country changing its name to Hindu Rashtra officially",fake
"Government removing all English language from India",fake
"Military coup happening and dissolving parliament",fake